Pattern,Platform,Implementation,Thumb Zone,Gesture Support,Deep Linking,Best For
Bottom Navigation,Cross-platform,TabView NavigationBar BottomNavigationBar,Primary zone - easy thumb reach,Swipe between tabs optional,Tab-based deep links,3-5 main destinations consumer apps
Navigation Drawer,Cross-platform,NavigationView sidebar DrawerLayout,Edge swipe required - less accessible,Edge swipe to open,Section deep links,Many destinations complex apps settings
Tab Bar Floating,iOS 26,TabView with Liquid Glass dynamic sizing,Primary zone - shrinks on scroll,Swipe tabs scroll collapse,Tab deep links,iOS 26 apps modern navigation
Navigation Rail,Tablet,Custom NavigationRail,Side placement - landscape friendly,None standard,Rail item deep links,Tablet landscape orientation
Adaptive Navigation,Cross-platform,WindowSizeClass adaptive bottom nav -> rail -> drawer,Adapts from thumb zone to side on large screens,Swipe tabs or drawer edge swipe,Destination deep links,Phone tablet foldable parity
Top Tabs,Cross-platform,TabView top Tabs HorizontalPager,Secondary zone - requires reach,Swipe between tabs,Tab deep links,Related content categories filters
Hierarchical Stack,Cross-platform,NavigationStack NavHost Navigator.push,Back button - top left zone,Swipe back iOS edge gesture,Path-based deep links,Drill-down content detail views
Modal Presentation,Cross-platform,.sheet present showModalBottomSheet,Dismiss gesture varies,Swipe down to dismiss,Modal deep links limited,Focused tasks forms
Full Screen Modal,Cross-platform,.fullScreenCover Dialog.fullscreen MaterialPageRoute,Full screen - all zones,Platform back gesture,Task completion links,Immersive content onboarding
Bottom Sheet Modal,Cross-platform,.sheet detents ModalBottomSheet showModalBottomSheet,Bottom zone - natural thumb,Swipe down to dismiss drag resize,Action deep links,Quick actions selections
Search Navigation,Cross-platform,.searchable SearchBar SearchDelegate,Top zone - keyboard focus,Focus triggers keyboard,Search query deep links,Content-heavy apps discovery
Contextual Menu,Cross-platform,.contextMenu DropdownMenu PopupMenuButton,Long press location,Long press to show,No deep link support,Quick actions on items
Action Sheet,iOS,ActionSheet BottomSheetDialog showModalBottomSheet,Bottom zone - thumb friendly,Tap outside to dismiss,No deep link support,Destructive confirmations choices
Split View,iPad/Tablet,NavigationSplitView permanent drawer,Left panel - pointer friendly,None standard,Master-detail deep links,iPad master-detail layouts
List-Detail Split,iPad/Tablet,NavigationSplitView ListDetailPaneScaffold,Detail pane - primary action bottom,Pane resize or drag handle,Detail deep links,Catalogs mail messaging
Compact Navigation,Watch/Small,PageTabViewStyle vertical paging,Full screen - edge swipes,Swipe between pages,Page deep links,WatchOS small screens
Gesture Navigation,Modern Android,System gesture nav edge swipes,Edge zones reserved for system,Back home recent system,N/A system level,Android 10+ gesture navigation
Predictive Back,Android 14+,OnBackPressedCallback predictive animations,System back gesture,Predictive back peek,Back handler deep links,Android 14+ modern back
Wizard Steps,Cross-platform,Custom stepper HorizontalPager,Bottom next button thumb zone,Swipe optional,Step deep links,Onboarding multi-step forms
Breadcrumb,Web/Tablet,Custom breadcrumb trail,Top zone secondary,Tap to navigate up,Path-based deep links,Complex hierarchies file browsers
Hub and Spoke,Cross-platform,Central hub return pattern,Hub always accessible,Back to hub gesture,Hub deep link,Dashboard-style apps settings
Tree Navigation,Cross-platform,Expandable outline nested lists,Expandable items,Tap to expand,Node deep links,File managers settings
Paginated Content,Cross-platform,PageViewController HorizontalPager PageView,Swipe zones edges,Swipe between pages,Page index deep links,Onboarding stories carousels
Infinite Scroll,Cross-platform,LazyColumn infinite FlatList onEndReached,Scroll zone - thumb friendly,Scroll natural,Scroll position restore,Social feeds content lists
Pull Navigation,Cross-platform,Pull down patterns custom,Top edge pull zone,Pull down gesture,N/A,Refresh notification panels
Floating Action Menu,Cross-platform,Custom FAB expanding menu,FAB thumb zone bottom right,Tap to expand,Action deep links,Quick action menus
Speed Dial FAB,Cross-platform,Custom FAB with sub-actions,FAB zone expandable,Tap hold expand,Action deep links,Related quick actions
Chip Filter Bar,Cross-platform,Horizontal chip scroll FilterChip,Top secondary zone,Scroll horizontal tap,Filter deep links,Filtering sorting content
Segmented Picker,Cross-platform,SegmentedControl Picker SegmentedButton,Top or inline zone,Tap to switch,Segment deep links,View mode switching
Collapsing Header,Cross-platform,CoordinatorLayout collapsing custom scroll,Top zone collapses,Scroll to collapse expand,N/A,Detail views rich headers
Sticky Navigation,Cross-platform,Sticky header pinned views,Always visible zone,None,N/A,Long content section navigation
Back to Top,Cross-platform,Scroll to top button floating,Floating bottom right,Tap to scroll top,N/A,Long scrolling content
Skip Links,Cross-platform,Accessibility skip to content,Hidden until focus,Keyboard navigation,N/A,Accessibility navigation
Focus Management,Cross-platform,FocusState FocusRequester FocusNode,Keyboard focus zones,Tab focus navigation,N/A,Form navigation accessibility
Deep Link Handler,Cross-platform,URL scheme handling universal links,N/A,N/A,Full deep link support,External navigation
App Shortcuts,Android,App Shortcuts static dynamic,Home screen long press,Long press icon,Shortcut deep links,Quick actions from home
Quick Actions,iOS,UIApplicationShortcutItem 3D Touch,Home screen long press,Long press icon,Shortcut deep links,Quick actions from home
Handoff,Apple,NSUserActivity Handoff,Cross-device continuation,N/A,Activity deep links,Cross-device continuity
App Clips Instant,iOS/Android,App Clips Instant Apps,N/A,N/A,Clip deep links,Lightweight quick experiences
